dec time,time,Sg,Sd,Su,Lu,Ld,Rn,G,Tdry,Twet,Tgrass,Tconc,Tsoil,Tsoil5,Tsoil10,Tsoil20,Tsoil30,Tsoil50,Tsoil100,Soil moist10,Soil moist30,Soil moist50,Soil moist100,Rain,U2,U2 N/A,U10,Dirn10,Ps,Pg,Sdur,?,?, , , , , , , , , , , , , , , , 
(hrs),(hhmm),(W/m^2),(W/m^2),(W/m^2),(W/m^2),(W/m^2),(W/m^2),(W/m^2),(deg C),(deg C),(deg C),(deg C),(deg C),(deg C),(deg C),(deg C),(deg C),(deg C),(deg C),(%),(%),(%),(%),(mm),(m/s),(m/s),(m/s),(deg),(hPa),(V/m),(hrs),(?),(?),( ),( ),( ),( ),( ),( ),( ),( ),( ),( ),( ),( ),( ),( ),( ),( )
0.083,5,-0.909,-2.2625,2.0304,-20.6424,1.692,-17.9462,-9.48717,999,999,17.29358,15.45196,-0.12062,42.01822,43.23282,43.5467,42.93566,41.68097,40.42609,-0.001,-0.001,-0.001,0,0.1,0.35964,999,-0.01998,0,-0.001,-0.001,0.003249,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.167,10,-1.818,0.4525,1.0152,-36.8856,-3.0456,-24.7128,-9.05982,999,999,17.30342,15.48172,-0.1305,41.99585,43.18798,43.52428,42.91324,41.68097,40.44856,-0.001,-0.001,-0.001,-0.001,0,0.23976,999,-0.01998,-0.144,-0.001,-0.001,0.003249,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,15,-0.909,-3.62,-0.6768,-50.4216,-7.4448,-34.2743,-8.37606,999,999,17.00822,15.2734,-0.12062,41.97348,43.16556,43.50186,42.93566,41.68097,40.42609,-0.001,-0.001,-0.001,-0.001,-0.04,0.35964,999,-0.01998,0.144,-0.001,-0.001,0.003249,999,999,0,0,0,0,0,-0.001,0,0,0,0,0,0,0,0,0,0
0.333,20,-3.1815,-0.4525,-1.0152,-59.22,-11.844,-38.8344,-9.05982,999,999,16.07342,14.89644,-0.12062,41.95111,43.12072,43.47944,42.91324,41.68097,40.40362,-0.001,-0.001,0,-0.001,0.04,0.50949,999,-0.01998,0,-0.001,-0.001,0.003249,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.417,25,-2.727,-2.2625,-2.0304,-67.68,-11.5056,-42.9532,-9.14529,999,999,16.0439,14.50956,-0.12062,41.92874,43.0983,43.45702,42.91324,41.6586,40.42609,-0.001,-0.001,-0.001,-0.001,0,0.1998,999,-0.01998,0.144,-0.001,-0.001,0.003249,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,30,-2.2725,-1.3575,-2.7072,-69.0336,-12.8592,-41.9235,-9.05982,999,999,16.13246,14.04332,-0.12062,41.884,43.07588,43.4346,42.91324,41.68097,40.42609,-0.001,-0.001,-0.001,-0.001,-0.1,0.12987,999,-0.01998,0.144,-0.001,-0.001,0.003165,999,999,0,0,0,-0.001,-0.001,0,0,0,0,0,0,0,0,0,0,0
0.583,35,-3.636,-4.9775,-2.3688,-66.6648,-14.5512,-43.2474,-9.57264,999,999,15.67982,13.60684,-0.12062,41.83926,43.03104,43.41218,42.91324,41.68097,40.44856,-0.001,-0.001,-0.001,0,0,0.17982,999,-0.01998,-0.144,-0.001,-0.001,0.003249,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.667,40,-4.0905,-2.2625,-1.0152,-63.2808,-13.536,-43.5416,-9.65811,999,999,14.9123,13.25964,-0.12062,41.77215,42.9862,43.38976,42.91324,41.68097,40.42609,-0.001,-0.001,-0.001,-0.002,0.04,0.5994,999,-0.01998,0,-0.001,-0.001,0.003165,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,45,-2.727,-1.3575,-1.0152,-58.2048,-13.1976,-41.4822,-10.2564,999,999,14.79422,13.2398,-0.11074,41.72741,42.94136,43.36734,42.93566,41.68097,40.42609,-0.001,-0.001,-0.001,-0.002,0,0.52947,999,-0.01998,-0.144,-0.001,-0.001,0.003249,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.833,50,-3.1815,-4.0725,-1.3536,-55.4976,-14.2128,-37.2163,-10.68375,999,999,15.17798,13.2398,-0.12062,41.63793,42.91894,43.34492,42.91324,41.68097,40.42609,-0.001,-0.002,-0.001,-0.001,-0.1,0.37962,999,-0.01998,0.144,-0.001,-0.001,0.003332,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.917,55,-3.1815,-1.81,-1.3536,-55.1592,-12.8592,-38.9815,-10.85469,999,999,15.14846,13.13068,-0.12062,41.59319,42.89652,43.3225,42.91324,41.68097,40.42609,-0.001,-0.002,-0.001,-0.001,0,0.22977,999,-0.01998,0,-0.001,-0.001,0.003249,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100,-2.727,-4.525,-1.692,-54.8208,-12.5208,-40.1583,-11.1111,999,999,14.93198,12.96204,-0.12062,41.52608,42.8741,43.30008,42.89082,41.68097,40.40362,-0.001,-0.001,-0.001,0,-0.04,0.12987,999,-0.01998,0,-0.001,-0.001,0.003249,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.083,105,-3.1815,-2.2625,-1.3536,-43.6536,-11.844,-29.8613,-11.36751,999,999,15.0599,12.86284,-0.12062,41.48134,42.82926,43.30008,42.91324,41.68097,40.44856,-0.002,-0.001,-0.001,-0.002,0.04,0.12987,999,-0.01998,0.144,-0.001,-0.001,0.003332,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.167,110,-1.818,-2.2625,0,-21.996,-6.768,-13.0919,-11.53845,999,999,15.23702,12.96204,-0.12062,41.41423,42.80684,43.25524,42.89082,41.68097,40.42609,-0.002,-0.001,-0.001,-0.002,0.04,0.26973,999,-0.01998,-0.36,-0.001,-0.001,0.003249,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.25,115,-0.909,-2.715,1.0152,-19.2888,-2.0304,-14.5629,-11.53845,999,999,15.29606,13.35884,-0.12062,41.36949,42.73958,43.25524,42.8684,41.68097,40.42609,0,-0.001,-0.001,-0.001,0,0.16983,999,-0.01998,0,-0.001,-0.001,0.003332,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.333,120,-0.4545,-0.905,1.0152,-19.2888,-2.7072,-14.4158,-11.28204,999,999,15.80774,13.79532,-0.12062,41.30238,42.71716,43.23282,42.8684,41.70334,40.44856,-0.001,-0.001,-0.001,-0.001,0,0.11988,999,-0.01998,0.144,-0.001,-0.001,0.003249,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.417,125,-0.4545,-2.715,0.3384,-24.3648,-1.0152,-20.594,-10.2564,999,999,16.03406,14.05324,-0.12062,41.28001,42.67232,43.2104,42.89082,41.68097,40.40362,-0.001,-0.001,-0.001,-0.001,0,0.12987,999,-0.01998,-0.36,-0.001,-0.001,0.003165,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,130,-0.4545,0,-0.3384,-36.2088,-4.3992,-33.6859,-10.94016,999,999,15.72902,14.12268,-0.12062,41.25764,42.6499,43.18798,42.8684,41.70334,40.42609,-0.001,-0.001,-0.001,0,-0.04,0.16983,999,-0.01998,0.144,-0.001,-0.001,0.003332,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.583,135,-2.2725,-1.3575,-1.3536,-48.7296,-7.4448,-44.4242,-10.34187,999,999,15.26654,13.96396,-0.12062,41.23527,42.62748,43.16556,42.8684,41.68097,40.42609,0,-0.001,-0.001,-0.001,0,0.11988,999,-0.01998,0,-0.001,-0.001,0.003249,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.667,140,-2.727,-1.3575,-2.0304,-49.4064,-11.1672,-44.7184,-10.17093,999,999,15.03038,13.56716,-0.1305,41.2129,42.58264,43.14314,42.8684,41.70334,40.42609,-0.001,-0.002,-0.001,-0.001,0.04,0.11988,999,-0.01998,-0.144,-0.001,-0.001,0.003332,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.75,145,-3.636,-3.1675,-2.3688,-48.3912,-11.1672,-45.3068,-9.91452,999,999,14.60726,13.10092,-0.12062,41.16816,42.5378,43.12072,42.8684,41.70334,40.44856,-0.001,-0.001,-0.001,-0.002,-0.04,0.11988,999,-0.01998,-0.144,-0.001,-0.001,0.003249,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.833,150,-2.2725,-2.2625,-1.692,-47.376,-11.1672,-43.9829,-9.99999,999,999,14.36126,12.66444,-0.1305,41.12342,42.51538,43.0983,42.84598,41.70334,40.42609,-0.001,-0.001,-0.001,-0.001,-0.04,0.1998,999,-0.01998,0.144,-0.001,-0.001,0.003249,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.917,155,-3.636,-6.335,-1.3536,-45.684,-11.5056,-42.9532,-10.94016,999,999,14.0267,12.46604,-0.12062,41.07868,42.44812,43.07588,42.84598,41.70334,40.44856,-0.001,-0.001,-0.001,0,-0.04,0.2997,999,-0.01998,0,-0.001,-0.001,0.003249,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,200,-2.2725,-1.81,-1.692,-44.6688,-11.5056,-43.8358,-11.28204,999,999,13.94798,12.25772,-0.12062,41.03394,42.44812,43.05346,42.84598,41.70334,40.42609,-0.001,-0.001,-0.001,-0.002,-0.04,0.23976,999,-0.01998,0,-0.001,-0.001,0.003332,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
